,State,TotalFirmsSellingCloud,PercentFirmsSellingCloud,TotalEmployeesSellingCloud,TotalFirmsNotSellingCloud,PercentFirmsNotSellingCloud,TotalEmployeesNotSellingCloud
0,Mississippi,473,12.7,2542,3149,84.7,23431
1,Missouri,1055,9.2,43986,9962,87.1,85246
2,Montana,286,8.2,2122,2974,85.4,11651
3,Nebraska,338,8.0,5183,3822,90.4,29570
4,Nevada,559,8.8,7558,5422,85.0,31194
5,New Hampshire,273,8.8,8681,2685,86.6,23886
6,New Jersey,1953,9.3,40735,17939,85.0,149189
7,New Mexico,234,6.5,2422,3120,86.1,19414
8,New York,3564,8.0,68546,38523,86.2,346054
9,North Carolina,1776,8.4,33898,18463,87.5,131829
10,North Dakota,184,11.0,1690,1450,86.7,12132
11,Ohio,2057,10.1,44338,17444,85.3,183729
12,Oklahoma,508,6.2,6909,7181,87.5,46900
13,Oregon,978,8.6,13568,9832,86.7,62567
14,Pennsylvania,2181,9.0,47922,21159,87.3,195859
15,Rhode Island,149,7.1,1860,1914,90.9,12724
16,South Carolina,668,7.4,10739,7881,87.0,70273
17,South Dakota,130,8.0,1443,1410,86.3,6559
18,Tennessee,746,8.7,18727,7534,87.7,77925
19,Texas,4736,9.3,126519,44106,86.7,397670
20,Vermont,175,9.3,1017,1649,87.2,7876
21,Utah,709,7.9,14711,7865,87.1,59217
22,Virginia,2314,9.9,104361,19820,85.0,206804
23,Washington,1929,10.8,41344,15358,85.7,140278
24,West Virginia,217,9.5,5184,1947,85.6,15231
25,Wisconsin,790,7.8,15458,8885,87.7,65519
26,Wyoming,148,8.1,698,0,0.0,0
27,Alabama,586,7.8,10783,6360,84.9,57153
28,Alaska,126,8.1,1744,1389,89.4,13000
29,Arizona,1504,10.5,16922,11972,83.8,72451
30,Arkansas,348,6.9,3055,4326,86.0,21150
31,California,9171,9.7,170653,80662,85.1,615379
32,Colorado,2304,10.1,29065,19611,85.6,179094
33,Delaware,267,11.3,4662,2013,84.9,19679
34,District of Columbia,379,10.2,9453,3110,83.7,65978
35,Connecticut,710,9.6,13026,6287,85.2,54759
36,Florida,5381,8.9,57803,53285,87.6,316740
37,Georgia,2301,10.2,35505,19318,85.3,149461
38,Idaho,422,10.4,9536,3489,86.1,26102
39,Hawaii,147,6.3,1381,2011,85.9,17048
40,Illinois,2804,9.1,54397,26897,87.1,204919
41,Indiana,908,8.6,15697,9241,87.7,83989
42,Iowa,463,8.1,9733,4817,84.8,38764
43,Kansas,388,6.4,6207,5330,87.8,36225
44,Kentucky,427,6.0,5325,6241,88.2,42117
45,Louisiana,0,0.0,0,7809,88.5,61756
46,Maine,237,7.8,2291,2757,90.8,12535
47,Maryland,1763,10.7,39435,13775,83.9,156341
48,Massachusetts,1884,11.2,43233,14055,83.8,163816
49,Michigan,1241,7.3,43811,14420,84.5,123332
50,Minnesota,1228,8.6,26667,12553,87.7,82572
