,State,TotalEmployees,AnnualPay,AvgPay
0,Alabama,107683,8153239,75.7151918130067
1,Alaska,16862,1265777,75.06683667417863
2,Arizona,149103,11876616,79.65376954186033
3,Arkansas,35113,2011207,57.27813060689773
4,California,1231167,133382795,108.33850728617645
5,Colorado,247637,19891233,80.3241559217726
6,Connecticut,99864,9613721,96.26813466314188
7,Delaware,31639,3160137,99.88106450899207
8,District of Columbia,109710,14864041,135.48483274086226
9,Florida,544115,39052120,71.77181294395486
10,Georgia,289696,23307820,80.45613332596929
11,Hawaii,24169,1599254,66.1696387934958
12,Idaho,36303,2024826,55.77572101479217
13,Illinois,392322,38058399,97.00806735283771
14,Indiana,135067,9610904,71.1565667409508
15,Iowa,59492,4021946,67.6048208162442
16,Kansas,66927,4478770,66.92022651545714
17,Kentucky,77468,3695975,47.709699488821194
18,Louisiana,104594,7038367,67.29226341855173
19,Maine,19002,1188073,62.523576465635195
20,Maryland,302472,28173104,93.14284958607739
21,Massachusetts,314892,36599526,116.22882131016348
22,Michigan,280370,23711958,84.5738060420159
23,Minnesota,188667,15878798,84.16309158464384
24,Mississippi,35027,1954140,55.78953378822052
25,Missouri,184388,13093205,71.00898648502071
26,Montana,14901,719693,48.298302127374
27,Nebraska,39653,2298015,57.95311830126346
28,Nevada,54379,3864750,71.0706338844039
29,New Hampshire,33972,2643207,77.80545743553515
30,New Jersey,332759,32009410,96.19397221412494
31,New Mexico,54195,3987367,73.574444136913
32,New York,679511,64194620,94.47178927199118
33,North Carolina,232708,18042995,77.5349150007735
34,North Dakota,14322,994202,69.41781874039938
35,Ohio,284314,20605844,72.4756571959172
36,Oklahoma,69245,4479537,64.69112571304787
37,Oregon,96787,7877723,81.39236674346762
38,Pennsylvania,345681,27965275,80.89908036600218
39,Rhode Island,21273,1450866,68.20222817656185
40,South Carolina,102345,7191239,70.26468317944209
41,South Dakota,10847,544709,50.21747948741587
42,Tennessee,124946,9458233,75.69856578041714
43,Texas,770910,64108627,83.15967752396519
44,Utah,91427,5652270,61.822765703785535
45,Vermont,11079,726404,65.56584529289647
46,Virginia,516069,50378752,97.62018644793622
47,Washington,220297,18760309,85.15916694280902
48,West Virginia,26375,1472307,55.8220663507109
49,Wisconsin,107488,8086985,75.23616589758856
50,Wyoming,0,0,
